,name,kind,latitude_deg,longitude_deg,elevation_ft,region_name,municipality,geometry
361,Fly Ville Airport,small_airport,-27.372117,-48.614509,33.0,Santa Catarina,Governador Celso Ramos,POINT (4375373.906311186 6851506.307099763)
362,Doutor Heráclito da Motta Luiz Airport,small_airport,-20.433126,-48.225367,1798.0,São Paulo,Guaíra,POINT (4418666.783275182 7691896.027747778)
363,Guaratuba Airport,small_airport,-25.88159942626953,-48.612098693847656,49.0,Paraná,Guaratuba,POINT (4375642.058008249 7036016.702673549)
364,Walter Bündchen Airport,small_airport,-27.638299942,-54.339099884,1063.0,Rio Grande do Sul,Horizontina,POINT (3738500.968385621 6818295.1330387825)
365,Humaitá Airport,small_airport,-7.532120227810001,-63.072101593,230.0,Amazonas,Humaitá,POINT (2766935.913690648 9165205.222317418)
366,Moisés Lupion Airport,small_airport,-23.762199,-50.263,1968.0,Paraná,Ibaiti,POINT (4191975.7687694747 7294391.3762598)
367,Clube de Marte Ibirá de Pará-Quedismo Airport,small_airport,-21.091388702392575,-49.22416687011719,1591.0,São Paulo,Ibirá,POINT (4307548.16876264 7614035.0431256)
368,João Batista Bos Filho Airport,small_airport,-28.368711,-53.846568,1197.0,Rio Grande do Sul,Ijuí,POINT (3793296.1903222343 6726739.7622259725)
369,Fazenda Ipanema Airport,small_airport,-23.425556182861,-47.581390380859,1985.0,São Paulo,Iperó,POINT (4490310.554803729 7335030.07333005)
370,Scoda Aeronáutica Airport,small_airport,-22.440516,-47.700402,2008.0,São Paulo,Ipeúna,POINT (4477070.258498634 7453348.6609732155)
371,Fazenda Goiabeira Airport,small_airport,-23.989445,-49.179169,2260.0,São Paulo,Itaberá,POINT (4312554.277727042 7266898.737334976)
372,Campo Comandantes Airport,small_airport,-26.983055,-48.816387,33.0,Santa Catarina,Itajaí,POINT (4352914.548504169 6899904.137623165)
373,Helibrás Airport,small_airport,-22.430833816528,-45.479167938232,2759.0,Minas Gerais,Itajubá,POINT (4724187.282475386 7454507.361558113)
374,Itu Airport,small_airport,-23.349722,-47.327778,2231.0,São Paulo,Itu,POINT (4518525.472754182 7344170.10122773)
375,Ituverava Airport,small_airport,-20.374843,-47.769066,2044.0,São Paulo,Ituverava,POINT (4469431.242139937 7698773.480901749)
376,Chácara Serradinho Airport,small_airport,-21.264799118041992,-48.35609817504883,2037.0,São Paulo,Jaboticabal,POINT (4404122.661394872 7593465.951831093)
377,Jaboticabal Airport,small_airport,-21.229755,-48.284212,2018.0,São Paulo,Jaboticabal,POINT (4412120.151595881 7597624.682137494)
378,Fazenda Morro Vermelho Airport,small_airport,-22.27720069885254,-48.60449981689453,1736.0,São Paulo,Jaú,POINT (4376487.449266444 7472882.260772727)
379,Fazenda Canadá Airport,small_airport,-15.595277786254885,-51.25722122192383,951.0,Goiás,Jussara,POINT (4081366.5386279253 8254636.789468325)
380,Lagoa da Prata Airport,small_airport,-20.061399459838867,-45.55490112304688,2159.0,Minas Gerais,Lagoa Da Prata,POINT (4715761.804237924 7735715.288775573)
381,Padre Israel Airport,small_airport,-21.240601,-44.963902,3146.0,Minas Gerais,Lavras,POINT (4781511.716403402 7596337.680343808)
382,Limeira Airport,small_airport,-22.603889,-47.411944,2172.0,São Paulo,Limeira,POINT (4509161.82585266 7433784.875425715)
383,14 Bis Airport,small_airport,-23.2141666412,-51.1858329773,1932.0,Paraná,Londrina,POINT (4089308.633007805 7360494.973192062)
384,Fazenda Santa Maria Airport,small_airport,-23.495871,-51.320029,2461.0,Paraná,Londrina,POINT (4074379.0394409094 7326550.538413499)
385,Municipal Bom Futuro Airport,small_airport,-13.037861,-55.95025,1358.0,Mato Grosso,Lucas do Rio Verde,POINT (3559257.0837817565 8546455.407936674)
386,Capão da Cruz Airport,small_airport,-21.458332061767575,-47.88777923583984,1936.0,São Paulo,Luís Antônio,POINT (4456224.141613107 7570481.055538692)
387,Plataforma P-15 Helipad,heliport,-22.6775,-40.606098,,Rio de Janeiro,Macaé,POINT (5266326.700150243 7424962.349153495)
388,Plataforma P-20 Helipad,heliport,-22.357201,-40.090599,125.0,Rio de Janeiro,Macaé,POINT (5323677.062696727 7463316.585232321)
389,Flores Airport,small_airport,-3.072917,-60.021937,203.0,Amazonas,Manaus,POINT (3106273.2261490524 9660254.937087815)
390,Fazenda Portobello Airport,small_airport,-22.927499771118164,-44.08000183105469,20.0,Rio de Janeiro,Mangaratiba,POINT (4879847.49424955 7394963.145606534)
391,Grupo Pronorte Airport,small_airport,-11.08977,-54.532762,1020.0,Mato Grosso,Marcelândia,POINT (3716955.6451859274 8766671.628182692)
392,Praia do Forte Airport,closed,-12.565371,-38.015812,49.0,Bahia,Mata De São João,POINT (5554501.538896931 8600017.75952208)
393,Mineiros Airport,small_airport,-17.55139923095703,-52.55670166015625,2707.0,Goiás,Mineiros,POINT (3936796.570005888 8028965.213587351)
394,Fazenda Santa Delfina Airport,small_airport,-20.0402774810791,-56.310001373291016,328.0,Mato Grosso do Sul,Miranda,POINT (3519233.9766858453 7738201.982843803)
395,Fazenda Santo Antônio Airport,small_airport,-21.276203,-51.283088,1141.0,São Paulo,Mirandópolis,POINT (4078488.8044313937 7592112.422682565)
396,Comandante Vittorio Bonomi Airport,small_airport,-21.532177,-47.04727,2037.0,São Paulo,Mococa,POINT (4549732.585662624 7561702.754533635)
397,Mococa Airport,small_airport,-21.48780059814453,-47.034400939941406,2116.0,São Paulo,Mococa,POINT (4551164.296024802 7566978.530037162)
398,Mogi Mirim Airport,small_airport,-22.40999984741211,-46.90530014038086,2274.0,São Paulo,Mogi Mirim,POINT (4565527.035156863 7457000.357976971)
399,Condomínio Liberty Airport,small_airport,-16.449075,-49.012169,3353.0,Goiás,Montividiu,POINT (4331133.3836909 8156421.558956219)
400,Mostardas Airport,small_airport,-31.103599548339844,-50.910301208496094,59.0,Rio Grande do Sul,Mostardas,POINT (4119962.1295887446 6378052.341256598)
401,Fazenda Ipuitã Airport,small_airport,-23.022277,-53.901218,1063.0,Mato Grosso do Sul,Naviraí,POINT (3787216.2613346605 7383575.560043542)
402,Xavantina Airport,small_airport,-14.697778,-52.347246,1037.0,Mato Grosso,Nova Xavantina,POINT (3960098.9586572214 8357434.778053102)
403,Novo Hamburgo Airport,small_airport,-29.69610023498535,-51.08169937133789,66.0,Rio Grande do Sul,Novo Hamburgo,POINT (4100893.718633964 6558701.718956551)
404,Osório Airport,small_airport,-29.9022216796875,-50.25055694580078,39.0,Rio Grande do Sul,Osório,POINT (4193360.0850717584 6532409.488958076)
405,Ouro Fino Airport,small_airport,-22.29750061035156,-46.3932991027832,2818.0,Minas Gerais,Ouro Fino,POINT (4622488.241930108 7470455.515162703)
406,Palmas Airport,small_airport,-26.472000122070312,-51.97589874267578,3609.0,Paraná,Palmas,POINT (4001412.132568686 6963221.43961823)
